Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 94.0.4606.81,,,2021-10-18 17:03:45,2021-10-18 17:03:45,"0,375s",PASSED
"selectOptionByLabel(findTestObject(""CreditoUruguayo/Flujo 3/select_Banco""), ""Itaú"", false)",Chrome 94.0.4606.81,,,2021-10-18 17:03:45,2021-10-18 17:03:46,"0,623s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 3/input_CuentaBancaria""), findTestData(""DatosUsuario"").getValue(2, 10))",Chrome 94.0.4606.81,,,2021-10-18 17:03:46,2021-10-18 17:03:47,"0,713s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/button_Continuar-3""))",Chrome 94.0.4606.81,,,2021-10-18 17:03:47,2021-10-18 17:03:47,"0,495s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 4/a_ConfirmarCredito""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:03:47,2021-10-18 17:03:49,"1,244s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 4/a_ConfirmarCredito""))",Chrome 94.0.4606.81,,,2021-10-18 17:03:49,2021-10-18 17:03:49,"0,366s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 5/input_Direccion""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:03:49,2021-10-18 17:03:50,"1,143s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_Direccion""), findTestData(""DatosUsuario"").getValue(2, 9))",Chrome 94.0.4606.81,,,2021-10-18 17:03:50,2021-10-18 17:03:51,"1,032s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/button_CrearContrasena""))",Chrome 94.0.4606.81,,,2021-10-18 17:03:51,2021-10-18 17:03:51,"0,377s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_Contrasena""), findTestData(""DatosUsuario"").getValue(2, 11))",Chrome 94.0.4606.81,,,2021-10-18 17:03:51,2021-10-18 17:03:52,"0,831s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_ConfirmarContrasena""), findTestData(""DatosUsuario"").getValue(2, 11))",Chrome 94.0.4606.81,,,2021-10-18 17:03:52,2021-10-18 17:03:53,"0,800s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/input_TyC-2""))",Chrome 94.0.4606.81,,,2021-10-18 17:03:53,2021-10-18 17:03:54,"0,576s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/button_Continuar-4""))",Chrome 94.0.4606.81,,,2021-10-18 17:03:54,2021-10-18 17:03:54,"0,599s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 6/button_QuieroQueMeLlamen""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:03:54,2021-10-18 17:04:02,"8,051s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 6/button_QuieroQueMeLlamen""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:02,2021-10-18 17:04:03,"0,346s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 7/a_Finalizar""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:04:03,2021-10-18 17:04:04,"1,009s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 7/a_Finalizar""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:04,2021-10-18 17:04:05,"0,931s",PASSED
,,,,,,,
Test Cases/Admin/Logueo,Chrome 94.0.4606.81,,,2021-10-18 17:04:05,2021-10-18 17:04:10,"5,722s",PASSED
currentPage = getUrl(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:04:05,2021-10-18 17:04:05,"0,010s",PASSED
currentTab = getWindowIndex(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:04:05,2021-10-18 17:04:05,"0,009s",PASSED
driver = getWebDriver(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:04:05,2021-10-18 17:04:05,"0,000s",PASSED
js = driver,Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:04:05,2021-10-18 17:04:05,"0,001s",PASSED
"js.executeScript(""window.open();"")",Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:04:05,2021-10-18 17:04:05,"0,037s",PASSED
switchToWindowIndex(currentTab + 1),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:04:05,2021-10-18 17:04:05,"0,027s",PASSED
navigateToUrl(Admin),Chrome 94.0.4606.81,,,2021-10-18 17:04:05,2021-10-18 17:04:08,"3,289s",PASSED
maximizeWindow(),Chrome 94.0.4606.81,,,2021-10-18 17:04:08,2021-10-18 17:04:08,"0,012s",PASSED
"setText(findTestObject(""Admin/Logueo/input_Usuario""), findTestData(""DatosUsuario"").getValue(2, 1))",Chrome 94.0.4606.81,,,2021-10-18 17:04:08,2021-10-18 17:04:09,"0,785s",PASSED
"setText(findTestObject(""Admin/Logueo/input_Contrasena""), findTestData(""DatosUsuario"").getValue(2, 2))",Chrome 94.0.4606.81,,,2021-10-18 17:04:09,2021-10-18 17:04:10,"0,702s",PASSED
"enhancedClick(findTestObject(""Admin/Logueo/button_Ingresar""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:10,2021-10-18 17:04:10,"0,373s",PASSED
,,,,,,,
Test Cases/Admin/Verificación,Chrome 94.0.4606.81,,,2021-10-18 17:04:10,2021-10-18 17:05:46,"1m - 35,735s",FAILED
"waitForElementPresent(findTestObject(""Admin/Verificacion/p_CreditosEnVerificacion""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:04:11,2021-10-18 17:04:12,"1,502s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/p_CreditosEnVerificacion""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:12,2021-10-18 17:04:13,"0,618s",PASSED
"waitForElementVisible(findTestObject(""Admin/Verificacion/select_SeleccionarMarca""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:04:13,2021-10-18 17:04:14,"0,567s",PASSED
"selectOptionByLabel(findTestObject(""Admin/Verificacion/select_SeleccionarMarca""), CU, false)",Chrome 94.0.4606.81,,,2021-10-18 17:04:14,2021-10-18 17:04:14,"0,640s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_Obtener""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:14,2021-10-18 17:04:15,"0,466s",PASSED
"waitForElementVisible(findTestObject(""Admin/Verificacion/input_FiltrarCI""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:04:15,2021-10-18 17:04:44,"29,501s",PASSED
"setText(findTestObject(""Admin/Verificacion/input_FiltrarCI""), cedulaRandom)",Chrome 94.0.4606.81,,,2021-10-18 17:04:44,2021-10-18 17:04:45,"0,709s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_Retomar VI""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:45,2021-10-18 17:04:47,"1,830s",PASSED
"waitForElementPresent(findTestObject(""Admin/Verificacion/button_Subir_1""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:04:47,2021-10-18 17:04:57,"9,932s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_Subir_1""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:57,2021-10-18 17:04:57,"0,369s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_CargarImagen_1""))",Chrome 94.0.4606.81,,,2021-10-18 17:04:57,2021-10-18 17:04:57,"0,475s",PASSED
"waitForElementClickable(findTestObject(""Admin/Verificacion/button_ConfirmarSubidaImagen_1""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:04:57,2021-10-18 17:05:02,"5,003s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_ConfirmarSubidaImagen_1""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:02,2021-10-18 17:05:03,"0,366s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/input_ConfirmarImagen_1""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:03,2021-10-18 17:05:34,"30,891s",PASSED
"waitForElementVisible(findTestObject(""Admin/Verificacion/button_Subir_2""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:05:34,2021-10-18 17:05:34,"0,539s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_Subir_2""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:34,2021-10-18 17:05:35,"0,359s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_CargarImagen_2""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:35,2021-10-18 17:05:35,"0,557s",PASSED
"waitForElementClickable(findTestObject(""Admin/Verificacion/button_ConfirmarSubidaImagen_2""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:05:35,2021-10-18 17:05:38,"2,370s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_ConfirmarSubidaImagen_2""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:38,2021-10-18 17:05:38,"0,612s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/input_ConfirmarImagen_2""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:38,2021-10-18 17:05:39,"1,050s",PASSED
"waitForElementVisible(findTestObject(""Admin/Verificacion/button_Subir_3""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:05:39,2021-10-18 17:05:40,"0,447s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_Subir_3""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:40,2021-10-18 17:05:40,"0,597s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_CargarImagen_3""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:40,2021-10-18 17:05:41,"0,551s",PASSED
"waitForElementClickable(findTestObject(""Admin/Verificacion/button_ConfirmarSubidaImagen_3""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:05:41,2021-10-18 17:05:43,"1,887s",PASSED
